"","Zipcode","source","avg_lead_level"
"1",10000,"free residential",0.00247058823529412
"2",10001,"free residential",0.000974025974025974
"3",10002,"free residential",0.00231351351351351
"4",10003,"free residential",0.0644693877551021
"5",10004,"free residential",0.001
"6",10005,"free residential",0.000695652173913044
"7",10006,"free residential",0
"8",10007,"free residential",0.00059375
"9",10009,"free residential",0.000978902953586498
"10",10010,"compliance",0
"11",10010,"free residential",0.000766666666666667
"12",10011,"free residential",0.00118473895582329
"13",10012,"free residential",0.00208661417322835
"14",10013,"compliance",0.03
"15",10013,"free residential",0.00466242038216561
"16",10014,"free residential",0.0030952380952381
"17",10016,"free residential",0.00332820512820513
"18",10017,"free residential",0.00401315789473684
"19",10018,"compliance",0.005
"20",10018,"free residential",5e-04
"21",10019,"free residential",0.00145614035087719
"22",10021,"free residential",0.0012734375
"23",10022,"free residential",0.000560975609756098
"24",10023,"free residential",0.00235329341317365
"25",10024,"free residential",0.0017866323907455
"26",10025,"free residential",0.00768421052631576
"27",10026,"free residential",0.00209285714285714
"28",10027,"free residential",0.00101229508196721
"29",10028,"free residential",0.00172625698324022
"30",10029,"free residential",0.0109842519685039
"31",10030,"free residential",0.00774545454545454
"32",10031,"free residential",0.00239814814814815
"33",10032,"free residential",0.00238970588235294
"34",10033,"free residential",0.00266091954022989
"35",10034,"free residential",0.00122222222222222
"36",10035,"free residential",0.000630434782608696
"37",10036,"free residential",0.00598461538461539
"38",10037,"free residential",0.000964705882352941
"39",10038,"free residential",0.00012
"40",10039,"free residential",6.97674418604651e-05
"41",10040,"free residential",0.000543046357615894
"42",10044,"free residential",0.000921052631578947
"43",10065,"free residential",0.000554455445544555
"44",10069,"free residential",0.000833333333333333
"45",10075,"compliance",0.0055
"46",10075,"free residential",0.00188421052631579
"47",10103,"free residential",0
"48",10128,"compliance",0.0088
"49",10128,"free residential",0.00192035398230089
"50",10155,"free residential",4e-04
"51",10162,"free residential",0.000833333333333333
"52",10179,"free residential",0.002
"53",10271,"free residential",0
"54",10280,"free residential",7.14285714285714e-05
"55",10282,"free residential",0
"56",10301,"compliance",0.00929166666666667
"57",10301,"free residential",0.00305714285714286
"58",10302,"free residential",0.0028695652173913
"59",10303,"compliance",0.002
"60",10303,"free residential",0.000666666666666667
"61",10304,"compliance",0.0103513513513514
"62",10304,"free residential",0.190529411764706
"63",10305,"compliance",0.00333333333333333
"64",10305,"free residential",0.00326865671641791
"65",10306,"compliance",0.00553086419753086
"66",10306,"free residential",0.0594128440366972
"67",10307,"compliance",0.000933333333333333
"68",10307,"free residential",0.00193333333333333
"69",10308,"compliance",0.00114876033057851
"70",10308,"free residential",0.00263461538461539
"71",10309,"compliance",0.00289473684210526
"72",10309,"free residential",0.00962962962962963
"73",10310,"compliance",0.00342857142857143
"74",10310,"free residential",0.00346341463414634
"75",10312,"compliance",0.0040952380952381
"76",10312,"free residential",0.00042
"77",10314,"compliance",0.0396940298507463
"78",10314,"free residential",0.00098581560283688
"79",10451,"free residential",0.000175
"80",10452,"free residential",0.00334285714285714
"81",10453,"free residential",0.00105882352941176
"82",10454,"free residential",0.00025
"83",10455,"free residential",0.004
"84",10456,"free residential",0.000735294117647059
"85",10457,"compliance",0.001
"86",10457,"free residential",0.000369565217391304
"87",10458,"free residential",0.000811320754716981
"88",10459,"free residential",0.002
"89",10460,"compliance",0.00466666666666667
"90",10460,"free residential",0.000413793103448276
"91",10461,"compliance",0.00885714285714286
"92",10461,"free residential",0.00395061728395062
"93",10462,"compliance",0.00466666666666667
"94",10462,"free residential",0.0018955223880597
"95",10463,"compliance",0.00415789473684211
"96",10463,"free residential",0.00286335403726708
"97",10464,"compliance",0.0055
"98",10464,"free residential",0.00263157894736842
"99",10465,"compliance",0.00366666666666667
"100",10465,"free residential",0.00695454545454546
"101",10466,"free residential",0.00435416666666667
"102",10467,"free residential",0.000924731182795699
"103",10468,"free residential",0.00358333333333333
"104",10469,"compliance",0.003
"105",10469,"free residential",8e-04
"106",10470,"compliance",0.00442857142857143
"107",10470,"free residential",0.00245714285714286
"108",10471,"compliance",0.00742857142857143
"109",10471,"free residential",0.000619047619047619
"110",10472,"free residential",0.00135
"111",10473,"free residential",0.00626666666666667
"112",10474,"free residential",0.00133333333333333
"113",10475,"free residential",0.000743589743589744
"114",10701,"free residential",0.004
"115",11001,"compliance",0.00283333333333333
"116",11001,"free residential",8e-04
"117",11004,"free residential",8.33333333333333e-05
"118",11005,"free residential",0.000666666666666667
"119",11040,"free residential",0
"120",11101,"compliance",0.006
"121",11101,"free residential",0.00095
"122",11102,"compliance",0.00883333333333333
"123",11102,"free residential",0.0107592592592593
"124",11103,"compliance",0.004625
"125",11103,"free residential",0.00191472868217054
"126",11104,"compliance",0.0065
"127",11104,"free residential",0.00184810126582279
"128",11105,"compliance",0.0134444444444444
"129",11105,"free residential",0.00426666666666667
"130",11106,"compliance",0.0054
"131",11106,"free residential",0.0034527027027027
"132",11109,"free residential",0.001
"133",11201,"compliance",0.002
"134",11201,"free residential",0.00245107398568019
"135",11203,"compliance",0.00314285714285714
"136",11203,"free residential",0.0156268656716418
"137",11204,"compliance",0.0055
"138",11204,"free residential",0.00271014492753623
"139",11205,"compliance",0.00414285714285714
"140",11205,"free residential",0.0406054054054054
"141",11206,"compliance",0.01275
"142",11206,"free residential",0.00175308641975309
"143",11207,"compliance",0.00211111111111111
"144",11207,"free residential",0.00252439024390244
"145",11208,"compliance",0.00285714285714286
"146",11208,"free residential",0.00363157894736842
"147",11209,"compliance",0.00946153846153846
"148",11209,"free residential",0.00307317073170732
"149",11210,"compliance",0.00525
"150",11210,"free residential",0.00321276595744681
"151",11211,"compliance",0.00477777777777778
"152",11211,"free residential",0.0021496062992126
"153",11212,"compliance",0.000811320754716981
"154",11212,"free residential",0.000574468085106383
"155",11213,"compliance",0.00247368421052632
"156",11213,"free residential",0.00210958904109589
"157",11214,"compliance",0.0036875
"158",11214,"free residential",0.0189621212121212
"159",11215,"compliance",0.0084375
"160",11215,"free residential",0.00388137755102039
"161",11216,"compliance",0.0152727272727273
"162",11216,"free residential",0.00741218637992831
"163",11217,"compliance",0.00588888888888889
"164",11217,"free residential",0.00203989361702128
"165",11218,"compliance",0.00927272727272728
"166",11218,"free residential",0.00720760233918128
"167",11219,"compliance",0.0025
"168",11219,"free residential",0.000986111111111111
"169",11220,"compliance",0.00288888888888889
"170",11220,"free residential",0.00336054421768708
"171",11221,"compliance",0.00333333333333333
"172",11221,"free residential",0.0547873303167421
"173",11222,"compliance",0.000666666666666667
"174",11222,"free residential",0.0014380664652568
"175",11223,"compliance",0.00679166666666667
"176",11223,"free residential",0.00466265060240964
"177",11224,"compliance",0.000770833333333333
"178",11224,"free residential",0.00257894736842105
"179",11225,"compliance",0.039
"180",11225,"free residential",0.0251137931034483
"181",11226,"compliance",0.00711111111111111
"182",11226,"free residential",0.00289928057553957
"183",11228,"compliance",0.0102857142857143
"184",11228,"free residential",0.0105257731958763
"185",11229,"compliance",0.00888461538461539
"186",11229,"free residential",0.00268862275449102
"187",11230,"compliance",0.00672727272727273
"188",11230,"free residential",0.00189119170984456
"189",11231,"compliance",0.00408333333333333
"190",11231,"free residential",0.0142964169381107
"191",11232,"compliance",0.0069
"192",11232,"free residential",0.000948051948051948
"193",11233,"compliance",0.0065
"194",11233,"free residential",0.0121036269430052
"195",11234,"compliance",0.00467241379310345
"196",11234,"free residential",0.00525
"197",11235,"free residential",0.00122018348623853
"198",11236,"compliance",0.0022
"199",11236,"free residential",0.000907407407407408
"200",11237,"free residential",0.00145864661654135
"201",11238,"compliance",0.004
"202",11238,"free residential",0.00233909287257019
"203",11239,"free residential",0
"204",11241,"free residential",0
"205",11242,"free residential",0
"206",11249,"free residential",0.00103921568627451
"207",11354,"compliance",0.00609090909090909
"208",11354,"free residential",0.000895833333333333
"209",11355,"compliance",0.002
"210",11355,"free residential",0.000515625
"211",11356,"compliance",0.0108
"212",11356,"free residential",0.00645454545454545
"213",11357,"compliance",0.00776923076923077
"214",11357,"free residential",0.00710344827586207
"215",11358,"compliance",0.0678809523809523
"216",11358,"free residential",0.00338961038961039
"217",11360,"compliance",0.000777777777777778
"218",11360,"free residential",0.000454545454545455
"219",11361,"compliance",0.00375
"220",11361,"free residential",0.00896825396825397
"221",11362,"compliance",0.00528571428571429
"222",11362,"free residential",0.00072972972972973
"223",11363,"compliance",0.0057
"224",11363,"free residential",0.00166666666666667
"225",11364,"compliance",0.0015
"226",11364,"free residential",0.000481481481481481
"227",11365,"compliance",4e-04
"228",11365,"free residential",0.000677966101694915
"229",11366,"free residential",8e-04
"230",11367,"free residential",0.00264179104477612
"231",11368,"compliance",0.00375
"232",11368,"free residential",0.00222641509433962
"233",11369,"compliance",0.0108
"234",11369,"free residential",0.00145454545454545
"235",11370,"free residential",0.000756756756756757
"236",11372,"compliance",0.00745454545454546
"237",11372,"free residential",0.00172037914691943
"238",11373,"compliance",0.0265555555555556
"239",11373,"free residential",0.00246666666666667
"240",11374,"compliance",0.00663636363636364
"241",11374,"free residential",0.00297647058823529
"242",11375,"compliance",0.00618181818181819
"243",11375,"free residential",0.00405111821086261
"244",11377,"compliance",0.00491304347826087
"245",11377,"free residential",0.0015448275862069
"246",11378,"compliance",0.00563636363636364
"247",11378,"free residential",0.00308333333333333
"248",11379,"compliance",0.0115
"249",11379,"free residential",0.171717391304348
"250",11385,"compliance",0.00711475409836066
"251",11385,"free residential",0.0152520775623269
"252",11411,"compliance",0.00266666666666667
"253",11411,"free residential",0.00535
"254",11412,"compliance",0.00432142857142857
"255",11412,"free residential",0.00202439024390244
"256",11413,"compliance",0.001125
"257",11413,"free residential",0.00781818181818182
"258",11414,"compliance",0
"259",11414,"free residential",0.000428571428571429
"260",11415,"compliance",0.024695652173913
"261",11415,"free residential",0.00476
"262",11416,"compliance",0.002
"263",11416,"free residential",5e-04
"264",11417,"compliance",0.004375
"265",11417,"free residential",0.00952777777777778
"266",11418,"compliance",0.00325
"267",11418,"free residential",0.000666666666666667
"268",11419,"compliance",0.002
"269",11419,"free residential",0.00118181818181818
"270",11420,"compliance",0.00246153846153846
"271",11420,"free residential",0.000789473684210527
"272",11421,"compliance",0.033
"273",11421,"free residential",0.00173076923076923
"274",11422,"free residential",0.00307692307692308
"275",11423,"compliance",0.0045
"276",11423,"free residential",0.00256
"277",11426,"compliance",0.003
"278",11426,"free residential",0.00616981132075472
"279",11427,"compliance",0.0187777777777778
"280",11427,"free residential",0.000714285714285714
"281",11428,"compliance",0.003
"282",11428,"free residential",0.0012
"283",11429,"free residential",0.00707407407407407
"284",11432,"compliance",0.0123333333333333
"285",11432,"free residential",0.00398507462686567
"286",11433,"compliance",0
"287",11433,"free residential",0.000346153846153846
"288",11434,"compliance",0.003375
"289",11434,"free residential",0.00285365853658537
"290",11435,"compliance",0.0025
"291",11435,"free residential",0.00186153846153846
"292",11436,"free residential",0.0067
"293",11691,"compliance",0.00103225806451613
"294",11691,"free residential",0.00173809523809524
"295",11692,"free residential",0.000857142857142857
"296",11693,"compliance",0
"297",11693,"free residential",0.00164285714285714
"298",11694,"compliance",0.0018
"299",11694,"free residential",0.000766666666666667
"300",11697,"free residential",0.0014
